month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Bronx,1,LCL/LTD,BX1,Off-Peak,9573222,66508024,6.95
2025-01-01,Bronx,1,LCL/LTD,BX1,Peak,4586692,30915155,6.74
2025-01-01,Bronx,2,LCL/LTD,BX1,Off-Peak,2014574,14028127,6.96
2025-01-01,Bronx,2,LCL/LTD,BX1,Peak,803878,5621321,6.99
2025-01-01,Bronx,1,LCL/LTD,BX10,Off-Peak,6823675,59601812,8.73
2025-01-01,Bronx,1,LCL/LTD,BX10,Peak,3522054,27471452,7.8
2025-01-01,Bronx,2,LCL/LTD,BX10,Off-Peak,1146385,11364059,9.91
2025-01-01,Bronx,2,LCL/LTD,BX10,Peak,471205,4461516,9.47
2025-01-01,Bronx,1,LCL/LTD,BX11,Off-Peak,9310757,60314843,6.48
2025-01-01,Bronx,1,LCL/LTD,BX11,Peak,4996963,28275242,5.66
2025-01-01,Bronx,2,LCL/LTD,BX11,Off-Peak,1957224,13943214,7.12
2025-01-01,Bronx,2,LCL/LTD,BX11,Peak,810525,5476280,6.76
2025-01-01,Bronx,1,LCL/LTD,BX12,Off-Peak,5238149,50866002,9.71
2025-01-01,Bronx,1,LCL/LTD,BX12,Peak,2255715,19072008,8.45
2025-01-01,Bronx,2,LCL/LTD,BX12,Off-Peak,1441792,15959869,11.07
2025-01-01,Bronx,2,LCL/LTD,BX12,Peak,472180,4800820,10.17
2025-01-01,Bronx,1,SBS,BX12+,Off-Peak,10996532,110000000,10.04
2025-01-01,Bronx,1,SBS,BX12+,Peak,5971003,56012591,9.38
2025-01-01,Bronx,2,SBS,BX12+,Off-Peak,2432422,25531675,10.5
2025-01-01,Bronx,2,SBS,BX12+,Peak,1102616,11443766,10.38
2025-01-01,Bronx,1,LCL/LTD,BX13,Off-Peak,4813816,33954253,7.05
2025-01-01,Bronx,1,LCL/LTD,BX13,Peak,2733233,17005212,6.22
2025-01-01,Bronx,2,LCL/LTD,BX13,Off-Peak,1146261,8228776,7.18
2025-01-01,Bronx,2,LCL/LTD,BX13,Peak,525474,3650558,6.95
2025-01-01,Bronx,1,LCL/LTD,BX15,Off-Peak,7132836,52150111,7.31
2025-01-01,Bronx,1,LCL/LTD,BX15,Peak,3397234,22151956,6.52
2025-01-01,Bronx,2,LCL/LTD,BX15,Off-Peak,1548121,11542241,7.46
2025-01-01,Bronx,2,LCL/LTD,BX15,Peak,590265,4173854,7.07
2025-01-01,Bronx,1,LCL/LTD,BX16,Off-Peak,5159404,49312314,9.56
2025-01-01,Bronx,1,LCL/LTD,BX16,Peak,3119830,27130853,8.7
2025-01-01,Bronx,2,LCL/LTD,BX16,Off-Peak,918764,9838940,10.71
2025-01-01,Bronx,2,LCL/LTD,BX16,Peak,420842,4407793,10.47
2025-01-01,Bronx,1,LCL/LTD,BX17,Off-Peak,6274674,44955144,7.16
2025-01-01,Bronx,1,LCL/LTD,BX17,Peak,3633065,23751274,6.54
2025-01-01,Bronx,2,LCL/LTD,BX17,Off-Peak,1372952,10766491,7.84
2025-01-01,Bronx,2,LCL/LTD,BX17,Peak,570462,4360939,7.64
2025-01-01,Bronx,1,LCL/LTD,BX18A,Off-Peak,333008,2644294,7.94
2025-01-01,Bronx,1,LCL/LTD,BX18A,Peak,369905,2192278,5.93
2025-01-01,Bronx,2,LCL/LTD,BX18A,Off-Peak,35360,372913.2,10.55
2025-01-01,Bronx,2,LCL/LTD,BX18A,Peak,24991,203407.2,8.14
2025-01-01,Bronx,1,LCL/LTD,BX18B,Off-Peak,277354,2471638,8.91
2025-01-01,Bronx,1,LCL/LTD,BX18B,Peak,340791,2637263,7.74
2025-01-01,Bronx,2,LCL/LTD,BX18B,Off-Peak,39782,535096.8,13.45
2025-01-01,Bronx,2,LCL/LTD,BX18B,Peak,14354,191106,13.31
2025-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10242586,58537022,5.72
